make_year,mileage_kmpl,engine_cc,fuel_type,owner_count,brand,transmission,color,service_history,accidents_reported,insurance_valid,price_rub,region
1998,11.31,1500,Diesel,1,Chevrolet,Manual,Red,Partial,0,Yes,395584,Сибирь
2001,21.27,1000,Diesel,2,Volkswagen,Manual,Black,Full,0,Yes,508658,Урал
2010,21.27,3000,Petrol,4,Nissan,Automatic,Silver,Partial,0,Yes,710803,Юг
2007,13.85,800,Petrol,1,Hyundai,Manual,Silver,Full,2,Yes,435756,Москва
2004,13.76,2000,Electric,5,Tesla,Manual,White,Full,1,Yes,758153,Дальний Восток
2020,8.66,4000,Petrol,5,Hyundai,Manual,Silver,Full,0,No,741776,Дальний Восток
2008,13.85,1200,Diesel,4,Nissan,Automatic,Red,Partial,1,Yes,207629,Урал
2010,21.25,1000,Diesel,5,Kia,Manual,Blue,Full,0,Yes,504969,СПб
2004,19.43,3000,Petrol,1,Toyota,Manual,Blue,Full,1,No,792598,Дальний Восток
2015,22.96,800,Electric,3,Volkswagen,Manual,Blue,Partial,0,No,840053,Урал
2017,21.56,1000,Petrol,5,Toyota,Manual,Blue,Unknown,1,Yes,495495,Сибирь
2016,26.68,1200,Petrol,5,Honda,Automatic,Gray,Full,0,Yes,585678,Юг
2009,22.48,1000,Diesel,2,Hyundai,Automatic,Red,Unknown,0,Yes,535325,Юг
1999,10.95,800,Diesel,1,Nissan,Automatic,Gray,Full,0,Yes,456030,Юг
2022,20.78,4000,Diesel,5,Hyundai,Manual,Blue,Unknown,0,Yes,1124044,Урал
2023,25.56,4000,Petrol,2,BMW,Automatic,Blue,Full,0,No,1469080,Дальний Восток
2021,7.66,2000,Electric,5,Ford,Manual,White,Unknown,0,Yes,907580,Юг
2008,21.79,2000,Diesel,3,Volkswagen,Manual,Black,Unknown,0,Yes,606818,Урал
2005,22.45,1800,Petrol,5,Kia,Manual,Black,Full,1,Yes,541667,Дальний Восток
2020,16.35,1500,Diesel,5,Chevrolet,Manual,Red,Full,0,Yes,560937,СПб
2003,24.17,4000,Petrol,3,BMW,Manual,Gray,Full,0,Yes,781023,СПб
2015,26.07,1200,Petrol,4,Tesla,Automatic,Black,Full,1,No,591838,Дальний Восток
1998,17.94,1800,Diesel,1,Toyota,Automatic,Blue,Full,1,Yes,610255,Дальний Восток
2004,11.48,1200,Diesel,3,Chevrolet,Automatic,Black,Unknown,0,No,274979,Урал
2012,17.66,800,Petrol,4,Nissan,Automatic,Silver,Partial,1,Yes,385301,Сибирь
2022,15.54,3000,Diesel,2,BMW,Manual,Blue,Full,1,Yes,936120,Дальний Восток
2016,16.19,3000,Diesel,2,Kia,Automatic,White,Partial,0,Yes,913419,Дальний Восток
2007,17.5,1800,Petrol,4,Honda,Automatic,White,Unknown,0,Yes,540552,Москва
1997,14.19,1000,Electric,3,BMW,Manual,Red,Partial,0,Yes,705453,Дальний Восток
2009,7.88,2000,Diesel,2,BMW,Manual,Red,Full,1,Yes,486011,СПб
2021,27.56,1800,Petrol,5,Kia,Automatic,Black,Full,0,Yes,628092,Юг
1998,22.25,2500,Petrol,4,BMW,Manual,Red,Partial,0,Yes,510235,Москва
2011,29.1,2500,Petrol,4,Toyota,Manual,White,Full,0,Yes,761349,Москва
1997,26.81,3000,Petrol,2,Toyota,Manual,Black,Unknown,0,Yes,833764,Дальний Восток
2023,25.08,5000,Petrol,4,Toyota,Manual,Blue,Unknown,0,Yes,1093754,Юг
2013,27.26,800,Diesel,5,Chevrolet,Manual,Blue,Full,1,Yes,424154,Москва
1997,18.06,5000,Diesel,5,Volkswagen,Manual,Black,Partial,1,Yes,723163,Юг
2015,19.29,2500,Diesel,2,Hyundai,Manual,White,Full,1,No,902831,Сибирь
2002,20.88,2500,Petrol,1,Nissan,Manual,Red,Unknown,0,Yes,668827,СПб
2014,19.4,2500,Diesel,2,Nissan,Manual,Red,Full,0,No,813144,Сибирь
2016,19.22,2500,Petrol,1,Chevrolet,Manual,Gray,Partial,0,Yes,914631,Дальний Восток
2020,22.94,2000,Petrol,4,Kia,Manual,White,Unknown,0,Yes,798454,Юг
2008,16.1,1800,Petrol,4,Hyundai,Manual,Silver,Partial,0,Yes,461427,Дальний Восток
2012,16.42,800,Petrol,5,BMW,Manual,Silver,Full,1,Yes,424222,Урал
2001,27.93,5000,Diesel,2,BMW,Manual,Gray,Partial,1,Yes,1198462,Дальний Восток
2007,22.31,5000,Diesel,2,Nissan,Automatic,Black,Full,0,No,984734,Юг
2019,10.79,1500,Diesel,2,Volkswagen,Manual,Gray,Unknown,0,Yes,709252,Москва
1999,14.14,1200,Diesel,5,BMW,Manual,Silver,Partial,1,Yes,288411,Дальний Восток
2008,15.63,2000,Petrol,2,Toyota,Automatic,Red,Partial,1,Yes,630886,Москва
2010,21.85,3000,Diesel,5,BMW,Automatic,Gray,Full,1,Yes,819619,Урал
2018,12.21,1000,Diesel,1,Toyota,Manual,White,Unknown,0,Yes,683945,Сибирь
2002,18.73,800,Petrol,5,Tesla,Manual,Blue,Unknown,1,No,254000,СПб
2003,18.8,1800,Petrol,3,Nissan,Manual,Silver,Full,1,Yes,704762,СПб
2023,19.13,800,Electric,4,Ford,Automatic,White,Unknown,1,Yes,654213,Юг
2006,17.23,1500,Electric,4,Nissan,Manual,Red,Full,0,Yes,600753,Урал
1997,32.17,2500,Petrol,1,BMW,Automatic,Black,Partial,0,Yes,927378,Урал
2018,22.48,1500,Petrol,5,Toyota,Manual,Black,Full,1,Yes,606256,Юг
2010,16.87,1200,Electric,1,Honda,Automatic,Black,Full,1,Yes,717211,Юг
2016,10.09,2500,Diesel,4,Chevrolet,Automatic,Blue,Full,1,Yes,651367,Сибирь
2000,19.84,3000,Diesel,1,Chevrolet,Automatic,Black,Partial,0,Yes,811324,Юг
2017,24.99,1800,Petrol,1,Ford,Automatic,Gray,Full,0,No,926098,Москва
2021,12.35,5000,Petrol,1,Ford,Automatic,Gray,Partial,1,Yes,1160783,Сибирь
2018,15.75,1000,Petrol,3,BMW,Automatic,Black,Full,0,Yes,686576,Урал
2001,13.71,1200,Diesel,5,Toyota,Manual,White,Full,1,No,236978,Сибирь
2014,28.4,800,Petrol,5,Honda,Manual,Black,Full,0,Yes,508052,Юг
1999,14.49,800,Petrol,3,Ford,Manual,Black,Unknown,0,Yes,366803,Сибирь
2000,19.38,5000,Diesel,3,Chevrolet,Manual,Silver,Unknown,0,Yes,976574,Юг
1996,14.24,5000,Petrol,1,Volkswagen,Manual,Blue,Partial,2,Yes,1092097,Москва
2015,20.53,1200,Petrol,5,Nissan,Manual,Black,Partial,0,No,661342,Дальний Восток
2004,13.21,2500,Diesel,5,Volkswagen,Manual,Black,Full,0,Yes,544454,Юг
2005,21.21,1200,Petrol,2,Honda,Automatic,Blue,Partial,0,Yes,421446,Юг
2017,18.99,1500,Diesel,1,Ford,Manual,Red,Partial,0,Yes,754599,Дальний Восток
2017,16.86,1200,Diesel,1,Kia,Manual,White,Unknown,0,Yes,604424,Юг
1997,14.91,1000,Petrol,1,Toyota,Automatic,White,Unknown,2,Yes,387890,Сибирь
1998,18.44,1000,Diesel,2,BMW,Manual,Silver,Unknown,0,Yes,95000,Юг
2004,24.73,1800,Electric,5,Tesla,Automatic,Silver,Full,2,Yes,894291,Москва
2011,11.77,1800,Petrol,2,BMW,Automatic,Silver,Full,1,Yes,624872,Дальний Восток
2015,8.47,5000,Petrol,5,Hyundai,Automatic,Silver,Full,0,Yes,989810,Юг
2009,17.63,4000,Diesel,1,Hyundai,Manual,Black,Partial,0,Yes,901977,СПб
2001,18.61,800,Petrol,2,Hyundai,Manual,White,Partial,1,Yes,291726,Урал
1996,24.64,4000,Petrol,1,Ford,Manual,Red,Full,0,Yes,954569,Москва
2018,11.04,2500,Diesel,5,Honda,Manual,White,Unknown,0,Yes,580288,Урал
2015,17.56,800,Petrol,5,BMW,Automatic,Silver,Full,0,Yes,502175,Урал
1996,17.44,1800,Electric,2,Hyundai,Automatic,Red,Unknown,0,Yes,568700,СПб
2010,21.73,3000,Diesel,2,Volkswagen,Automatic,Gray,Full,0,No,761097,Урал
2013,11.58,1500,Petrol,3,Toyota,Automatic,Red,Full,0,Yes,345886,Урал
2015,15.98,3000,Diesel,1,Tesla,Manual,Red,Partial,0,Yes,971727,Москва
2023,20.13,1000,Diesel,1,Kia,Manual,White,Full,0,Yes,833205,Урал
2017,22.95,1200,Petrol,2,Chevrolet,Manual,Blue,Full,0,Yes,595476,Сибирь
1996,12.45,800,Petrol,2,Toyota,Manual,Red,Partial,0,Yes,241374,Урал
2004,20.74,1800,Petrol,2,Tesla,Manual,Red,Full,0,Yes,549998,Москва
2015,16.33,1500,Petrol,5,Volkswagen,Automatic,Black,Full,0,Yes,327778,СПб
2020,18.74,3000,Diesel,1,Ford,Manual,White,Partial,0,Yes,847273,СПб
2004,19.2,1000,Diesel,1,Chevrolet,Manual,Red,Full,1,Yes,607175,Урал
2002,20.86,1800,Diesel,1,Honda,Manual,Silver,Partial,1,Yes,680492,СПб
2022,12.67,1800,Petrol,1,Hyundai,Automatic,Red,Partial,0,Yes,939437,Урал
2003,17.52,5000,Petrol,4,Toyota,Automatic,Blue,Partial,0,No,845989,СПб
2010,13.74,1200,Diesel,3,Nissan,Manual,White,Partial,0,No,544536,Сибирь
2017,14.24,1500,Petrol,5,Kia,Automatic,White,Partial,1,Yes,494230,Сибирь
2022,22.72,1000,Petrol,2,Nissan,Manual,Gray,Partial,0,No,554439,СПб
1995,8.98,1000,Diesel,5,Kia,Manual,Silver,Full,0,No,95887,Юг
2019,17.84,1800,Petrol,4,Honda,Automatic,White,Full,1,Yes,653997,Юг
2013,23.36,3000,Diesel,1,Toyota,Automatic,White,Full,0,Yes,1080683,Дальний Восток
2015,20.97,3000,Petrol,1,Nissan,Manual,Blue,Full,0,Yes,1100866,Юг
2002,21.04,800,Petrol,5,Ford,Manual,Gray,Full,0,Yes,296878,Урал
2007,13.15,1500,Diesel,2,Chevrolet,Manual,Gray,Unknown,0,No,624578,СПб
2002,10.17,800,Diesel,1,Nissan,Automatic,Gray,Partial,0,Yes,341381,Дальний Восток
2000,20.7,1000,Diesel,2,Chevrolet,Automatic,Black,Full,3,Yes,588200,Сибирь
2003,17.42,5000,Petrol,1,Nissan,Automatic,Blue,Full,0,Yes,1183925,Москва
2013,17.49,1500,Electric,5,BMW,Automatic,Silver,Unknown,1,Yes,829774,Юг
2001,12.99,3000,Diesel,1,Chevrolet,Manual,Blue,Partial,2,No,635811,Юг
2007,12.38,1200,Petrol,4,Kia,Automatic,White,Full,0,Yes,224825,Москва
2019,10.1,3000,Petrol,5,Hyundai,Automatic,Black,Partial,0,Yes,726613,Сибирь
1998,15.99,4000,Petrol,2,Chevrolet,Manual,Silver,Unknown,0,Yes,872280,СПб
2008,23.36,3000,Diesel,3,Volkswagen,Automatic,Black,Full,0,Yes,862840,Урал
1999,15.32,1500,Electric,3,Chevrolet,Manual,Blue,Full,1,No,571278,Юг
1999,13.19,4000,Petrol,2,Ford,Manual,Red,Partial,0,Yes,880257,Урал
2013,20.26,800,Petrol,1,BMW,Automatic,Silver,Unknown,0,Yes,497366,Сибирь
1996,23.27,1800,Petrol,4,Ford,Automatic,Black,Unknown,0,Yes,464902,СПб
2013,11.63,1800,Petrol,1,Volkswagen,Automatic,Gray,Full,1,Yes,593329,Юг
2003,28.51,2000,Diesel,2,Hyundai,Automatic,Silver,Full,0,Yes,783026,СПб
2000,24.23,1000,Petrol,2,Toyota,Manual,Black,Full,2,Yes,612576,СПб
2022,28.28,1500,Diesel,4,Toyota,Automatic,Silver,Partial,1,Yes,709960,Москва
2019,12.06,1200,Diesel,4,Kia,Manual,Black,Partial,1,Yes,553152,Юг
2023,14.47,1200,Petrol,5,Ford,Manual,Silver,Unknown,1,Yes,629871,СПб
1997,10.76,1200,Petrol,4,Kia,Manual,Black,Full,0,Yes,99486,СПб
1998,10.48,5000,Diesel,4,Kia,Manual,Red,Full,0,Yes,651198,Сибирь
2010,20.39,1500,Petrol,3,Nissan,Automatic,Silver,Full,0,Yes,473179,Юг
2006,9.92,3000,Diesel,4,Volkswagen,Manual,Black,Full,1,Yes,786800,Юг
2000,18.44,4000,Electric,2,Tesla,Manual,Blue,Full,0,Yes,1143970,СПб
2018,9.22,1800,Electric,5,Honda,Manual,Black,Unknown,0,Yes,709737,Дальний Восток
2011,21.72,4000,Diesel,2,Nissan,Automatic,Black,Unknown,0,Yes,996180,Дальний Восток
1995,17.26,3000,Petrol,2,Hyundai,Manual,Blue,Full,0,Yes,729852,Дальний Восток
2013,19.69,1200,Petrol,3,Kia,Manual,Black,Full,0,Yes,623588,Юг
2013,15.34,2500,Electric,1,Volkswagen,Manual,Silver,Partial,1,No,1102542,Урал
2015,19.53,3000,Diesel,2,BMW,Manual,White,Partial,1,Yes,944780,Дальний Восток
2009,17.85,2500,Diesel,3,Volkswagen,Automatic,Gray,Full,0,Yes,621690,Урал
2013,16.46,4000,Diesel,4,Honda,Automatic,Black,Full,0,Yes,754868,Дальний Восток
2000,23.01,2500,Petrol,3,Volkswagen,Automatic,Black,Full,1,No,578268,Сибирь
2018,16.74,1800,Diesel,1,Honda,Manual,Black,Partial,0,No,799512,Урал
1998,20.74,3000,Petrol,4,Hyundai,Manual,White,Partial,1,Yes,652053,Юг
2020,23.37,3000,Petrol,5,Tesla,Manual,Gray,Partial,0,Yes,865090,Сибирь
2019,23.24,4000,Petrol,3,Hyundai,Manual,Red,Full,1,Yes,1214655,Дальний Восток
2018,22.49,2500,Diesel,4,BMW,Automatic,Black,Unknown,0,Yes,788548,Урал
1999,15.5,800,Petrol,5,Volkswagen,Manual,Gray,Full,1,Yes,118986,Урал
2019,18.66,1800,Petrol,1,Volkswagen,Manual,Gray,Unknown,0,Yes,824684,Москва
2010,17.81,4000,Diesel,5,Tesla,Manual,White,Full,0,Yes,915067,Москва
2021,12.16,5000,Diesel,5,Chevrolet,Manual,Black,Unknown,2,Yes,1004301,Москва
2018,13.7,1500,Diesel,3,Chevrolet,Automatic,Silver,Partial,0,Yes,575588,Юг
2003,14.63,3000,Diesel,2,Hyundai,Manual,Silver,Partial,0,Yes,661297,Сибирь
2022,15.7,1000,Diesel,3,Toyota,Manual,Black,Full,2,Yes,470570,СПб
1997,18.47,5000,Diesel,3,BMW,Manual,Red,Full,0,Yes,791752,Дальний Восток
1997,11.25,1500,Diesel,1,Tesla,Automatic,White,Partial,0,Yes,339745,Юг
2006,12.83,3000,Diesel,3,Tesla,Manual,Blue,Full,0,Yes,652307,Сибирь
1997,21.14,4000,Diesel,4,Ford,Manual,Gray,Unknown,0,Yes,703194,Дальний Восток
2020,27.29,1000,Diesel,4,Honda,Manual,White,Full,0,Yes,580790,Дальний Восток
1995,23.42,1200,Petrol,2,BMW,Manual,White,Full,0,No,273806,Урал
1998,19.49,5000,Petrol,3,Kia,Manual,Silver,Full,1,Yes,788366,Сибирь
2011,16.75,800,Petrol,2,Kia,Manual,Blue,Full,1,Yes,468081,Сибирь
2004,16.93,1800,Petrol,2,Nissan,Manual,Gray,Full,1,Yes,448815,Сибирь
2008,16.82,4000,Diesel,5,Ford,Manual,Blue,Full,2,Yes,764475,Урал
2007,26.91,2500,Diesel,5,Volkswagen,Manual,White,Unknown,0,Yes,543790,Юг
2001,12.86,1500,Electric,3,Ford,Automatic,Black,Full,0,Yes,823742,СПб
2014,17.31,800,Diesel,1,Toyota,Manual,Red,Unknown,2,Yes,412364,Юг
2013,21.2,2000,Petrol,4,Honda,Manual,Gray,Partial,0,Yes,675663,СПб
2014,14.39,1000,Diesel,3,Ford,Automatic,Silver,Unknown,0,Yes,317842,Юг
2003,11.28,3000,Diesel,2,Tesla,Manual,White,Full,1,Yes,721619,СПб
2005,12.21,1000,Petrol,3,Toyota,Manual,Blue,Unknown,1,Yes,447322,Урал
2004,17.8,3000,Petrol,4,Honda,Automatic,Black,Full,1,Yes,672268,СПб
2007,15.55,1000,Petrol,4,BMW,Automatic,Silver,Full,1,Yes,468360,Сибирь
2001,12.39,1500,Petrol,4,Honda,Automatic,Blue,Full,1,Yes,364212,Дальний Восток
2007,15.94,3000,Petrol,4,BMW,Manual,Silver,Partial,0,Yes,527282,Дальний Восток
2015,22.26,5000,Petrol,3,Chevrolet,Automatic,Silver,Unknown,0,Yes,1023133,СПб
1996,21.87,800,Petrol,5,Nissan,Automatic,Silver,Full,0,Yes,171574,Дальний Восток
2018,17.29,1000,Petrol,5,Toyota,Manual,White,Full,0,Yes,620402,Урал
2018,15.66,1200,Petrol,4,Hyundai,Manual,Black,Full,1,Yes,536874,Урал
2019,19.65,4000,Diesel,2,Toyota,Manual,Black,Unknown,0,Yes,1190047,Дальний Восток
1995,13.87,1500,Petrol,1,Honda,Manual,Black,Full,1,No,633033,Юг
2004,18.94,1500,Electric,3,Chevrolet,Manual,Red,Full,0,No,794880,Урал
2004,11.28,1000,Petrol,5,Chevrolet,Automatic,Black,Full,0,Yes,140252,Юг
2013,17.08,2000,Diesel,1,Volkswagen,Automatic,Blue,Full,1,Yes,550603,Юг
2010,6.65,4000,Petrol,3,Chevrolet,Automatic,White,Full,0,Yes,826344,Сибирь
1999,15.89,2500,Petrol,1,Nissan,Automatic,Black,Partial,0,No,600437,Сибирь
2022,20.8,3000,Electric,3,Honda,Manual,White,Unknown,0,Yes,1301742,Урал
2005,15.88,800,Petrol,4,Nissan,Manual,Silver,Full,1,Yes,421008,Урал
2023,9.51,800,Petrol,1,BMW,Manual,Blue,Unknown,1,No,629436,Юг
2004,15.86,2000,Petrol,3,Nissan,Manual,Blue,Partial,1,Yes,385899,Сибирь
2020,16.33,1200,Diesel,4,Kia,Automatic,Silver,Full,1,Yes,545276,Урал
2001,20.12,2500,Petrol,5,Ford,Manual,Red,Full,1,Yes,498018,СПб
1999,17.74,2000,Diesel,1,Hyundai,Automatic,White,Unknown,1,Yes,517942,Москва
2003,20.43,2500,Petrol,5,Chevrolet,Automatic,Black,Partial,1,Yes,607439,Дальний Восток
1997,26.33,1800,Petrol,4,BMW,Automatic,White,Partial,0,Yes,461467,Дальний Восток
